FaceID,Batch,Shotcrete_Layer,Spray_Time,Air_Temp,Shotcrete_Temp,Shotcrete_Blend,15M_MPa,30M_MPa,60M_MPa,90M_MPa,120M_MPa,150M_Mpa,180M_Mpa,240M_Mpa,270M_Mpa,300M_Mpa
RUP_1100_592_RMP_03,2,2,07:45:00,2.0,,,,,0.87,,1.11,,,,,
RUP_1050_539_RMP_15 - rehabilitation ,7 & 8,2,08:00:00,2.0,,,,,,0.46,,,,1.0,,
RUP_1000_818_DEC_58 (rehabilitation 445-447 m),2 & 3,2,11:40:00,-1.0,,,,,0.86,1.02,,,,,,
RUP_1100_592_RMP_04,2 & 3  ,2,10:15:00,-1.0,,,,0.85,1,,,,,,,
RUP_1050_539_RMP_16,2 & 3,2,15:00:00,4.0,,,,,,,,0.6,0.8,1.0,,
Rehabilitation on lower decline,1,2,17:00:00,5.0,,,,,0.69,,,0.77,,0.87,,
Rehabilitation on lower decline (447-453 m),2,2,05:00:00,2.0,,,,,0.34,,0.7,,,1.0,,
RUP_1100_592_RMP_05 (Trgošped shotcrete),2,2,15:30:00,7.0,,,,,,,1.05,,,,,
Rehabilitation on lower decline (451-455m),3 & 4,2,07:30:00,1.0,,,,,0.82,,1,,,,,
RUP_1050_539_RMP_17,3 & 4,2,12:45:00,5.0,,,,,,0.84,1.01,,,,,
RUP_1100_592_RMP_06,3 & 4,2,11:00:00,9.0,,,,,0.8,1,,,,,,
RUP_1100_592_RMP_07,5 & 6,2,05:30:00,4.0,,,,,0.5,,0.63,,0.66,0.7,,
RUP_1100_592_RMP_07,7,2,13:00:00,7.0,,,,,0.88,1,,,,,,
RUP_1050_539_RMP_18,2 &3,2,14:00:00,6.0,,,,,0.73,,,0.87,,1.02,,
RUP_1100_592_RMP_08,3,2,,5.0,,,,,,,,,1,,,
RUP_950_DEC_01,1,1,23:15:00,8.0,,,,,,,,0.24,,0.47,,
RUP_950_DEC_01,2,1,12:15:00,6.0,,,,,0.9,1,,,,,,
RUP_1075_630_ACC_10,1&2&3,2,10:30:00,6.0,,,,,0.93,1,,,,,,
RUP_950_DEC_02,1,1,15:10:00,11.0,,,,,,0.76,,,,0.99,,
RUP_1050_MBAY_01,6,2,04:30:00,2.0,,,,,,,0.5,,,1.0,,
RUP_1050_539_RMP_19,3,2,06:10:00,2.0,,,,0.48,,,,,0.82,1.02,,
RUP_950_DEC_03,2 & 3,1,21:00:00,10.0,,,,,,0.65,,,,1.0,,
RUP_1075_630_ACC_11,2,2,00:30:00,5.0,,,,,,,,,1.06,,,
RUP_1100_592_RMP_09,2 & 3 & 4,2,12:30:00,20.0,,,,,,,0.01,,,,,
RUP_950_DEC_04,1 & 2,1,04:30:00,5.0,,,,,1.02,,,,,,,
RUP_1050_MBAY_02,2 & 3,2,10:30:00,8.0,,,,,0.91,1,,,,,,
RUP_1075_630_ACC_12,2 & 3,2,11:30:00,7.0,,,,,0.92,1.02,,,,,,
RUP_1050_MBAY_03,1 & 2,1,21:30:00,7.0,,,,,0.44,,0.5,,,0.63,,
RUP_1050_MBAY_03,3,2,05:00:00,7.0,,,,,0.5,,,,,1.05,,
RUP_1075_630_ACC_13,2 & 3,2,14:45:00,8.0,,,,,0.74,,0.88,,1,,,
RUP_950_DEC_05,1 & 2,1,20:30:00,6.0,,,,,,,1.01,,,,,
RUP_1050_MBAY_04,1 & 2,1,05:00:00,1.0,,,,,1.05,,,,,,,
RUP_1050_MBAY_04,3,2,1900-01-11 07:12:00,9.0,,,,,,0.88,1.02,,,,,
RUP_1075_630_ACC_14,1,1,15:45:00,9.0,,,,,0.71,,0.85,,1.01,,,
RUP_1075_630_ACC_14,2,2,0.21875,-1.0,,,,,0.95,,,,,,,
RUP_1050_539_RMP_20,3,2,14:30:00,13.0,,,,,0.9,,,1.03,,,,
RUP_950_DEC_06,2,1,18:30:00,7.0,,,,,0.83,1.03,,,,,,
RUP_1050_MBAY_05,1 & 2 & 3,2,06:15:00,5.0,,,,,0.65,,,1.14,,,,
RUP_1075_630_ACC_15,2 & 3,2,02:25:00,4.0,,,,,0.71,,0.8,1.0,,,,
RUP_1050_539_RMP_21,1,1,06:45:00,3.0,,,0.52,,,,,1.11,,,,
RUP_1075_630_ACC_15,4,2,17:30:00,13.0,,,,,0.56,,,,0.87,1.04,,
RUP_1050_MBAY_06,2 & 3,1,21:00:00,8.0,,,,0.63,,,,,,,,
RUP_1050_539_RMP_21,2 & 3,2,00:00:00,7.0,,,,,0.83,,1,,,,,
RUP_1075_630_ACC_15,5 & 6,3,15:40:00,6.0,,,,1.2,,,,,,,,
RUP_1100_592_RMP_10,3&4&5,1,20:30:00,8.0,,,,,1.05,,,,,,,
RUP_1075_630_ACC_16,1 & 2,1,15:45:00,16.0,,,,,,,,0.75,,1.0,,
RUP_1075_630_ACC_16,3 & 4 & 5,2,21:30:00,16.0,,,,,1,,,,,,,
RUP_1075_630_ACC_17,1,1,18:15:00,8.0,,,,,,0.54,,,1,,,
